,公司代號,公司名稱,產業類別,員工福利平均數(仟元/人),員工薪資平均數(仟元/人),非擔任主管職務之全時員工薪資平均數(仟元/人),非擔任主管之全時員工薪資中位數(仟元/人),管理職女性主管占比,職業災害人數及比率-人數,職業災害人數及比率-比率,用水量(公噸),用水密集度-密集度(公噸/單位),公司年度召開法說會次數(次),使用率(再生能源/總能源),範疇一-排放量(噸CO2e),範疇二-排放量(噸CO2e),範疇三-排放量(噸CO2e),溫室氣體排放密集度-密集度(噸CO2e/單位),董事席次(含獨立董事)(席),獨立董事席次(席),女性董事席次及比率-比率,董事出席董事會出席率,有害廢棄物量-數據(公噸),非有害廢棄物量-數據(公噸),總重量(有害+非有害)-數據(公噸),廢棄物密集度-密集度(公噸/單位),E,S,G,ESG,ESG_ByPR
226,1432,大魯閣,運動休閒,1,1,1,99,64,15,1,71,78,15,50,92,71,15,92,43,92,29,1,43,29,71,92,1,1,1,1,47
227,1598,岱宇,運動休閒,22,22,29,71,43,64,99,57,99,29,99,57,57,92,99,99,71,43,50,99,92,50,99,1,1,1,1,68
228,1736,喬山,運動休閒,29,29,36,57,36,50,36,64,71,78,43,85,64,8,85,22,64,15,29,36,22,64,85,1,1,1,1,48
229,4536,拓凱,運動休閒,64,64,43,64,15,78,50,99,36,64,92,78,78,85,78,36,57,64,43,92,78,78,78,1,1,1,1,66
230,5306,桂盟,運動休閒,99,99,57,36,50,99,92,85,57,99,85,99,99,78,57,85,50,50,99,85,71,99,57,1,1,1,1,77
231,6670,復盛應用,運動休閒,50,50,64,29,29,36,22,43,1,57,29,29,36,71,50,57,43,99,22,15,15,15,50,1,1,1,1,43
232,6768,志強-KY,運動休閒,85,85,50,43,78,71,64,92,29,50,78,71,85,64,71,78,36,92,92,78,64,92,71,1,1,1,1,70
233,8462,柏文,運動休閒,36,36,8,92,99,43,43,22,22,22,36,50,43,57,1,71,29,8,15,50,43,29,15,1,1,1,1,38
234,8467,波力-KY,運動休閒,15,15,22,85,1,92,85,36,8,8,1,22,29,50,43,64,22,1,8,22,99,57,43,1,1,1,1,38
235,8478,東哥遊艇,運動休閒,78,78,78,8,22,57,29,78,15,1,71,64,92,43,64,92,15,85,85,71,57,85,64,1,1,1,1,58
236,9802,鈺齊-KY,運動休閒,8,8,15,78,57,8,8,15,43,85,22,36,15,36,8,50,99,57,78,29,85,43,36,1,1,1,1,40
237,9904,寶成,運動休閒,43,43,71,50,92,29,57,1,64,43,15,1,1,1,22,29,8,36,71,1,1,1,8,1,1,1,1,29
238,9910,豐泰,運動休閒,92,92,99,1,85,1,71,8,92,71,8,8,8,99,15,8,85,78,64,8,8,8,22,1,1,1,1,44
239,9914,美利達,運動休閒,71,71,92,15,8,22,15,50,50,36,64,43,50,22,29,1,78,22,36,64,50,36,1,1,1,1,1,37
240,9921,巨大,運動休閒,57,57,85,22,71,85,78,29,85,92,57,15,22,29,36,15,1,71,57,57,36,22,29,1,1,1,1,46
241,1471,首利,電子零組件業,53,52,46,38,66,99,99,24,65,57,38,40,75,22,33,94,89,14,11,35,31,28,42,1,1,1,1,50
242,1582,信錦,電子零組件業,65,64,73,27,43,57,65,52,74,76,9,88,96,62,82,55,95,37,84,38,63,52,83,1,1,1,1,61
243,2059,川湖,電子零組件業,30,31,48,52,68,55,48,73,60,88,49,50,65,36,86,60,97,21,71,76,51,68,69,1,1,1,1,58
244,2308,台達電,電子零組件業,85,85,94,10,80,7,10,13,17,99,5,12,18,9,16,17,96,61,72,22,6,14,21,1,1,1,1,38
245,2313,華通,電子零組件業,48,47,67,29,39,15,32,18,86,79,60,37,21,76,19,40,33,51,29,89,95,23,34,1,1,1,1,48
246,2316,楠梓電,電子零組件業,6,5,11,84,50,30,31,22,80,24,64,34,29,75,71,41,34,27,19,23,34,36,88,1,1,1,1,40
247,2327,國巨,電子零組件業,36,40,44,60,86,27,44,44,63,97,53,32,22,21,38,43,35,77,7,26,28,31,49,1,1,1,1,46
248,2328,廣宇,電子零組件業,92,92,90,13,69,60,64,91,97,25,42,89,99,78,79,66,36,76,57,85,88,93,91,1,1,1,1,74
249,2355,敬鵬,電子零組件業,22,25,31,67,63,16,21,94,29,26,32,19,16,33,22,45,37,24,35,93,67,13,71,1,1,1,1,39
250,2367,燿華,電子零組件業,13,13,12,88,26,46,52,21,81,27,43,33,23,24,68,61,38,33,75,17,29,26,77,1,1,1,1,41
251,2368,金像電,電子零組件業,43,45,47,63,58,11,25,10,19,81,44,7,12,23,15,47,39,7,36,92,91,12,27,1,1,1,1,37
252,2375,凱美,電子零組件業,86,86,41,39,89,63,63,96,26,28,45,46,66,70,6,97,15,73,16,94,87,91,10,1,1,1,1,60
253,2383,台光電,電子零組件業,72,72,70,36,33,35,34,61,95,98,46,13,38,37,83,64,40,72,62,30,21,27,64,1,1,1,1,51
254,2385,群光,電子零組件業,97,97,98,6,23,19,62,23,5,95,13,25,26,5,5,52,42,47,50,39,79,35,7,1,1,1,1,40
255,2392,正崴,電子零組件業,76,75,88,17,54,64,61,16,32,29,47,16,15,63,24,38,51,54,70,64,57,70,31,1,1,1,1,50
256,2402,毅嘉,電子零組件業,26,29,5,97,62,32,7,60,92,31,48,90,89,39,81,56,43,36,43,67,64,76,65,1,1,1,1,54
257,2413,環科,電子零組件業,5,8,7,98,24,31,15,86,68,38,50,71,79,61,52,49,44,32,60,80,86,88,94,1,1,1,1,51
258,2415,錩新,電子零組件業,88,87,76,25,72,66,60,38,41,64,54,91,90,67,42,59,45,45,34,27,68,44,46,1,1,1,1,58
259,2420,新巨,電子零組件業,17,19,14,89,87,38,20,85,67,65,55,66,74,60,43,54,9,79,56,83,99,99,97,1,1,1,1,59
260,2421,建準,電子零組件業,44,37,58,50,56,5,59,17,33,32,57,47,33,73,34,21,92,9,24,98,92,96,32,1,1,1,1,48
261,2428,興勤,電子零組件業,52,54,62,54,91,53,46,72,94,77,58,73,70,80,94,63,46,34,55,78,81,83,14,1,1,1,1,62
262,2431,聯昌,電子零組件業,51,50,52,45,23,61,58,49,43,33,39,63,54,31,41,13,47,67,53,53,40,58,17,1,1,1,1,43
263,2440,太空梭,電子零組件業,73,73,72,23,66,65,57,68,45,34,22,15,19,42,39,65,48,38,73,42,26,34,18,1,1,1,1,48
264,2457,飛宏,電子零組件業,58,55,65,42,67,41,36,37,30,35,35,54,32,86,32,16,49,91,13,48,33,49,39,1,1,1,1,46
265,2460,建通,電子零組件業,29,30,32,69,32,62,56,79,37,36,40,29,24,26,26,67,50,98,51,71,61,19,56,1,1,1,1,50
266,2462,良得電,電子零組件業,80,79,81,21,56,59,55,69,44,37,23,14,20,41,8,26,31,55,15,43,27,32,15,1,1,1,1,42
267,2467,志聖,電子零組件業,75,77,86,20,37,42,27,88,70,23,62,92,91,92,53,62,32,97,87,96,60,79,92,1,1,1,1,69
268,2472,立隆電,電子零組件業,83,82,85,18,92,58,53,20,88,84,61,93,92,91,63,58,14,96,77,95,97,95,43,1,1,1,1,70
269,2476,鉅祥,電子零組件業,23,28,37,62,74,29,13,78,38,30,59,30,25,25,25,57,41,13,97,24,23,20,57,1,1,1,1,38
270,2478,大毅,電子零組件業,60,62,43,71,70,36,33,46,98,22,56,60,35,59,99,32,19,22,96,28,48,43,99,1,1,1,1,51
271,2483,百容,電子零組件業,10,11,8,94,35,21,8,87,69,68,52,72,84,90,50,34,27,26,95,82,76,84,93,1,1,1,1,53
272,2484,希華,電子零組件業,20,21,28,73,77,69,66,64,56,12,41,57,60,89,31,15,26,94,49,61,52,67,50,1,1,1,1,53
273,2492,華新科,電子零組件業,34,36,49,68,94,37,47,19,96,70,51,20,13,28,62,33,24,93,22,19,20,24,73,1,1,1,1,46
274,2493,揚博,電子零組件業,69,69,82,24,82,85,68,70,46,6,24,22,36,43,40,70,8,35,93,41,25,33,16,1,1,1,1,49
275,3003,健和興,電子零組件業,28,27,17,86,51,47,43,66,99,7,63,74,67,88,89,83,22,92,20,72,59,78,98,1,1,1,1,61
276,3011,今皓,電子零組件業,39,41,30,82,39,98,69,8,76,8,14,8,9,15,60,93,10,42,5,8,12,9,80,1,1,1,1,39
277,3015,全漢,電子零組件業,64,65,77,26,71,43,41,56,51,75,18,43,55,97,48,18,20,62,92,88,90,69,70,1,1,1,1,57
278,3021,鴻名,電子零組件業,18,17,36,75,99,97,98,67,78,74,31,45,58,34,61,31,13,57,10,60,43,61,89,1,1,1,1,55
279,3023,信邦,電子零組件業,27,26,33,90,96,23,16,71,73,9,27,38,45,30,55,11,29,64,59,62,38,55,78,1,1,1,1,45
280,3026,禾伸堂,電子零組件業,55,58,63,57,97,20,11,47,61,80,36,65,42,54,46,30,18,90,26,40,56,50,58,1,1,1,1,54
281,3032,偉訓,電子零組件業,87,88,75,22,28,96,97,25,59,10,25,53,57,40,59,50,16,48,90,36,65,53,75,1,1,1,1,56
282,3037,欣興,電子零組件業,50,51,60,48,55,12,40,5,23,91,66,9,7,14,20,29,21,60,61,9,15,6,33,1,1,1,1,34
283,3042,晶技,電子零組件業,62,68,83,33,44,28,19,50,58,82,34,67,46,49,65,11,93,31,89,58,62,72,67,1,1,1,1,53
284,3044,健鼎,電子零組件業,56,59,29,95,45,95,96,6,84,83,11,5,6,19,73,28,23,58,98,5,7,5,82,1,1,1,1,45
285,3058,立德,電子零組件業,70,70,66,49,39,94,95,51,57,11,20,51,47,55,47,25,25,56,30,7,14,59,62,1,1,1,1,46
286,3090,日電貿,電子零組件業,45,42,59,46,93,56,29,99,53,72,75,87,97,45,67,12,28,28,86,99,94,97,60,1,1,1,1,60
287,3092,鴻碩,電子零組件業,91,91,79,47,68,6,6,59,89,71,98,41,61,32,77,92,52,89,85,75,75,81,96,1,1,1,1,66
288,3229,晟鈦,電子零組件業,9,6,10,91,84,68,67,62,77,40,99,95,94,79,91,69,53,99,6,54,69,73,66,1,1,1,1,65
289,3296,勝德,電子零組件業,35,35,39,53,76,48,12,90,35,13,30,77,83,35,30,96,6,10,63,73,44,92,40,1,1,1,1,46
290,3308,聯德,電子零組件業,59,53,25,58,85,93,94,9,36,20,15,10,10,16,35,91,54,17,83,6,13,10,41,1,1,1,1,42
291,3321,同泰,電子零組件業,11,9,9,92,78,22,9,42,71,14,96,94,93,69,84,90,76,46,12,87,93,62,76,1,1,1,1,59
292,3338,泰碩,電子零組件業,67,66,61,32,27,92,93,53,55,15,21,52,51,56,58,24,94,59,82,68,72,71,68,1,1,1,1,57
293,3376,新日興,電子零組件業,7,10,15,99,27,18,18,75,64,92,28,55,39,44,87,53,77,86,41,63,58,75,74,1,1,1,1,52
294,3432,台端,電子零組件業,81,81,53,55,99,91,92,58,24,16,95,99,59,53,57,99,17,29,27,69,71,77,35,1,1,1,1,61
295,3501,維熹,電子零組件業,16,15,13,93,98,90,91,65,75,17,37,64,56,50,70,89,78,16,80,91,89,94,87,1,1,1,1,64
296,3533,嘉澤,電子零組件業,96,96,93,14,64,89,90,35,42,87,94,23,28,20,80,88,79,19,28,44,80,25,47,1,1,1,1,56
297,3550,聯穎,電子零組件業,57,56,51,41,79,88,89,41,27,18,93,69,62,18,28,87,80,83,79,49,53,64,36,1,1,1,1,58
298,3593,力銘,電子零組件業,41,39,27,59,30,87,88,40,47,19,16,68,63,51,45,22,81,52,39,50,54,65,52,1,1,1,1,51
299,3605,宏致,電子零組件業,40,34,54,61,88,39,30,83,9,21,92,75,77,57,49,98,12,95,38,81,85,87,25,1,1,1,1,57
300,3607,谷崧,電子零組件業,14,12,20,78,34,86,87,54,48,39,29,56,41,52,44,86,5,80,69,74,66,80,53,1,1,1,1,52
301,3645,達邁,電子零組件業,42,43,55,40,52,84,86,39,28,50,91,70,64,17,27,23,84,8,23,51,55,63,37,1,1,1,1,46
302,3653,健策,電子零組件業,38,46,40,65,61,24,26,28,34,41,90,58,43,83,37,19,82,63,46,45,46,54,48,1,1,1,1,51
303,3679,新至陞,電子零組件業,90,90,26,64,82,34,85,93,18,58,89,96,72,84,7,35,83,25,78,84,84,89,29,1,1,1,1,62
304,4545,銘鈺,電子零組件業,19,20,19,85,83,44,35,48,21,60,88,42,69,85,23,85,88,84,64,56,49,66,44,1,1,1,1,56
305,4912,聯德控股-KY,電子零組件業,37,38,38,72,41,8,5,81,6,63,6,97,98,98,92,27,98,85,67,77,41,60,20,1,1,1,1,55
306,4915,致伸,電子零組件業,94,94,97,7,65,17,45,26,62,94,12,31,27,10,54,36,99,53,54,59,30,45,63,1,1,1,1,51
307,4927,泰鼎-KY,電子零組件業,24,22,24,80,81,10,23,15,20,85,87,21,17,29,17,20,85,87,52,21,18,22,30,1,1,1,1,42
308,4943,康控-KY,電子零組件業,89,89,91,11,23,70,84,11,50,62,17,11,8,13,36,71,86,88,14,13,19,15,45,1,1,1,1,47
309,4958,臻鼎-KY,電子零組件業,25,23,23,79,42,14,51,7,39,89,33,6,5,27,29,84,87,82,76,10,8,7,38,1,1,1,1,41
310,4989,榮科,電子零組件業,77,74,87,16,59,83,83,45,91,61,86,80,88,87,98,82,75,18,21,37,77,51,72,1,1,1,1,65
311,4999,鑫禾,電子零組件業,32,32,35,83,66,82,82,76,7,59,85,82,71,81,93,42,91,50,48,97,78,85,22,1,1,1,1,64
312,5469,瀚宇博,電子零組件業,61,61,56,43,47,33,17,43,87,55,84,49,50,96,78,11,73,66,45,18,39,29,81,1,1,1,1,54
313,6108,競國,電子零組件業,12,16,16,77,50,81,81,36,85,54,83,59,52,99,76,95,72,5,47,34,70,47,90,1,1,1,1,56
314,6115,鎰勝,電子零組件業,54,57,57,51,60,80,80,92,25,53,82,78,81,93,10,46,74,23,25,55,74,74,8,1,1,1,1,56
315,6133,金橋,電子零組件業,33,33,34,74,47,79,79,32,82,52,68,28,37,64,75,81,7,43,9,31,36,39,86,1,1,1,1,52
316,6141,柏承,電子零組件業,15,14,18,87,25,40,22,34,83,51,69,27,44,65,72,80,55,40,81,32,42,42,84,1,1,1,1,49
317,6153,嘉聯益,電子零組件業,21,18,21,81,46,25,37,33,16,73,70,18,40,58,74,51,56,49,65,29,37,40,85,1,1,1,1,46
318,6155,鈞寶,電子零組件業,8,7,6,96,75,51,28,74,66,56,71,85,68,68,90,11,57,65,18,79,73,82,19,1,1,1,1,55
319,6191,精成科,電子零組件業,99,99,99,5,57,78,78,14,31,49,7,98,14,12,18,48,58,81,68,11,16,11,28,1,1,1,1,48
320,6197,佳必琪,電子零組件業,71,71,68,31,90,52,24,80,14,48,72,44,76,8,14,79,59,15,99,14,9,16,6,1,1,1,1,47
321,6205,詮欣,電子零組件業,47,49,45,70,95,77,77,57,12,67,73,86,87,66,97,78,11,20,94,46,50,56,24,1,1,1,1,59
322,6213,聯茂,電子零組件業,68,67,64,66,39,76,76,77,8,96,67,36,73,71,88,44,90,11,66,47,45,57,23,1,1,1,1,57
323,6224,聚鼎,電子零組件業,78,78,74,28,31,54,49,82,54,66,74,76,78,47,9,14,60,75,8,12,5,8,61,1,1,1,1,51
324,6269,台郡,電子零組件業,31,24,22,76,48,50,50,29,79,90,76,61,34,72,69,11,61,30,58,33,35,38,79,1,1,1,1,51
325,6282,康舒,電子零組件業,63,60,80,37,29,13,39,27,13,69,77,39,31,7,13,11,62,69,44,57,22,30,5,1,1,1,1,41
326,6412,群電,電子零組件業,95,95,96,8,55,75,75,30,93,93,19,35,30,6,95,77,63,12,40,70,24,37,54,1,1,1,1,54
327,6449,鈺邦,電子零組件業,82,83,78,35,53,74,74,89,52,47,10,79,82,46,11,76,64,70,33,15,10,17,11,1,1,1,1,54
328,6672,騰輝電子-KY,電子零組件業,46,48,42,56,49,26,14,55,90,78,26,24,49,94,85,75,65,74,37,90,96,46,95,1,1,1,1,59
329,6715,嘉基,電子零組件業,84,84,84,19,40,9,73,84,10,46,78,62,80,74,51,74,66,44,88,16,11,18,26,1,1,1,1,53
330,6781,AES-KY,電子零組件業,79,80,71,34,38,73,72,98,49,45,79,84,85,38,64,73,67,68,74,66,82,86,51,1,1,1,1,66
331,8039,台虹,電子零組件業,49,44,50,44,35,45,42,63,72,44,80,26,53,77,56,39,68,78,42,52,32,48,59,1,1,1,1,53
332,8046,南電,電子零組件業,74,76,89,15,36,72,71,12,40,86,81,17,11,11,21,37,69,71,91,20,17,21,13,1,1,1,1,47
333,8103,瀚荃,電子零組件業,66,63,69,30,82,71,70,95,11,43,8,81,95,95,12,72,70,41,31,86,98,98,9,1,1,1,1,60
334,8213,志超,電子零組件業,98,98,95,9,73,49,38,31,15,42,97,48,48,82,96,10,71,6,32,25,47,41,55,1,1,1,1,52
335,8249,菱光,電子零組件業,93,93,92,12,50,67,54,97,22,5,65,83,86,48,66,68,30,39,17,65,83,90,12,1,1,1,1,56
336,1503,士電,電機機械,97,97,97,9,33,99,99,29,95,63,71,67,31,9,63,7,73,99,23,49,35,35,17,1,1,1,1,59
337,1504,東元,電機機械,89,91,87,23,71,47,63,33,55,97,45,7,23,7,53,21,99,31,63,33,25,23,11,1,1,1,1,48
338,1506,正道,電機機械,37,37,15,85,95,59,65,63,13,39,41,75,71,41,75,41,45,53,39,47,73,81,31,1,1,1,1,53
339,1513,中興電,電機機械,69,67,79,29,51,43,59,73,87,37,7,77,49,63,77,35,43,59,53,51,39,39,89,1,1,1,1,55
340,1514,亞力,電機機械,75,75,81,21,19,61,71,67,35,35,15,33,79,87,19,11,41,35,19,63,63,65,65,1,1,1,1,50
341,1515,力山,電機機械,9,15,31,77,49,7,7,15,39,33,43,17,11,45,41,31,97,57,45,13,9,9,27,1,1,1,1,35
342,1517,利奇,電機機械,13,9,25,71,35,37,37,87,75,31,17,21,97,65,17,71,39,9,71,61,93,73,57,1,1,1,1,46
343,1519,華城,電機機械,81,81,83,27,47,35,43,59,63,29,85,79,53,93,61,25,37,71,73,59,57,33,63,1,1,1,1,58
344,1526,日馳,電機機械,57,59,43,99,65,83,75,75,71,27,19,85,83,67,57,27,95,13,75,55,91,67,51,1,1,1,1,59
345,1527,鑽全,電機機械,35,41,45,57,15,27,19,69,7,25,21,23,35,85,85,19,35,61,17,57,69,79,21,1,1,1,1,43
346,1528,恩德,電機機械,73,79,57,49,21,79,69,13,37,23,67,15,13,49,39,77,33,49,67,9,11,11,23,1,1,1,1,41
347,1529,樂事綠能,電機機械,17,11,17,79,39,77,79,91,41,21,39,57,93,47,9,13,31,63,13,11,13,83,25,1,1,1,1,44
348,1530,亞崴,電機機械,39,39,61,59,37,67,35,53,11,19,37,73,39,51,73,79,29,73,41,45,71,77,35,1,1,1,1,50
349,1531,高林股,電機機械,67,69,59,41,63,65,41,27,69,17,47,51,17,43,59,93,27,21,9,21,15,13,43,1,1,1,1,41
350,1532,勤美,電機機械,71,73,73,43,93,57,51,37,61,93,83,55,29,39,55,33,25,29,15,53,23,21,37,1,1,1,1,47
351,1535,中宇,電機機械,95,95,99,7,31,71,83,93,23,77,53,59,95,83,67,17,23,67,33,65,77,93,77,1,1,1,1,62
352,1537,廣隆,電機機械,83,85,75,39,77,73,85,19,47,87,73,49,19,21,25,37,21,77,87,15,33,27,7,1,1,1,1,50
353,1538,正峰,電機機械,53,53,9,91,89,69,17,81,15,15,9,93,87,77,69,99,11,79,35,69,99,91,33,1,1,1,1,61
354,1539,巨庭,電機機械,15,17,11,97,59,89,89,83,27,13,51,91,85,89,7,89,19,17,29,71,75,95,79,1,1,1,1,53
355,1540,喬福,電機機械,33,27,27,65,13,91,91,99,79,9,23,99,99,73,13,91,17,41,93,73,89,99,59,1,1,1,1,62
356,1541,錩泰,電機機械,27,35,39,61,75,93,93,47,93,41,61,63,45,97,91,97,9,7,51,31,81,69,91,1,1,1,1,60
357,1558,伸興,電機機械,87,87,89,15,97,19,49,23,89,75,93,65,33,13,87,23,15,81,59,23,31,31,97,1,1,1,1,55
358,1560,中砂,電機機械,61,61,71,31,27,15,25,7,9,89,79,53,21,27,31,67,47,83,95,25,29,29,39,1,1,1,1,45
359,1583,程泰,電機機械,49,43,53,47,59,49,45,95,77,7,29,87,77,71,11,47,51,51,43,99,67,97,53,1,1,1,1,57
360,1589,永冠-KY,電機機械,43,51,51,53,57,11,67,21,85,95,77,47,9,19,65,15,49,65,61,19,7,7,47,1,1,1,1,43
361,1590,亞德客-KY,電機機械,45,49,49,51,41,9,21,9,19,99,49,13,15,25,29,43,71,69,21,7,17,15,19,1,1,1,1,37
362,1597,直得,電機機械,59,63,67,35,91,55,57,57,43,43,35,89,51,75,27,55,91,11,37,77,45,47,45,1,1,1,1,52
363,2049,上銀,電機機械,85,89,91,11,43,13,23,11,33,83,81,11,7,15,35,29,89,15,79,29,21,19,29,1,1,1,1,39
364,2371,大同,電機機械,63,65,65,37,67,23,53,17,53,47,95,71,27,23,21,81,7,85,83,43,27,25,9,1,1,1,1,50
365,3167,大量,電機機械,93,31,77,33,53,51,27,31,65,73,65,95,75,11,15,51,87,87,49,79,87,89,15,1,1,1,1,60
366,4526,東台,電機機械,47,45,55,45,17,17,13,97,97,67,27,83,65,59,71,9,85,37,57,81,61,63,93,1,1,1,1,56
367,4532,瑞智,電機機械,79,77,93,17,45,39,15,85,83,65,13,35,91,69,79,53,83,89,11,83,97,43,61,1,1,1,1,63
368,4540,全球傳動,電機機械,19,19,37,63,69,25,31,49,45,69,59,19,67,95,93,57,81,39,91,85,59,61,83,1,1,1,1,58
369,4552,力達-KY,電機機械,25,23,21,89,65,95,95,41,25,81,69,9,59,29,99,87,79,47,7,37,47,51,81,1,1,1,1,56
370,4555,氣立,電機機械,31,25,13,93,83,81,87,39,49,79,87,41,43,31,95,85,77,91,89,35,49,59,87,1,1,1,1,64
371,4560,強信-KY,電機機械,23,29,33,75,25,21,33,43,29,61,97,43,61,37,45,83,75,45,25,39,51,53,71,1,1,1,1,47
372,4562,穎漢,電機機械,21,21,29,83,99,29,9,51,21,59,57,29,73,81,49,59,93,93,85,87,85,87,75,1,1,1,1,61
373,4564,元翎,電機機械,29,33,35,67,81,31,11,35,57,57,63,37,89,53,23,75,53,19,47,27,41,41,13,1,1,1,1,44
374,4566,時碩工業,電機機械,77,83,63,55,55,85,77,71,59,55,91,27,55,35,81,95,69,33,27,89,53,55,85,1,1,1,1,64
375,4571,鈞興-KY,電機機械,51,55,47,69,23,87,81,61,31,85,99,45,63,33,47,73,67,95,81,91,55,57,69,1,1,1,1,65
376,4572,駐龍,電機機械,11,13,23,81,79,63,47,65,17,53,31,39,81,91,37,69,65,25,97,93,83,85,73,1,1,1,1,56
377,4576,大銀微系統,電機機械,91,93,85,19,61,53,55,55,51,71,55,31,47,79,33,49,63,55,55,95,43,45,67,1,1,1,1,58
378,4583,台灣精銳,電機機械,41,47,19,87,85,41,29,45,99,11,89,97,37,99,97,65,61,43,31,97,95,49,99,1,1,1,1,63
379,5288,豐祥-KY,電機機械,55,57,41,73,29,33,61,25,91,91,75,69,25,17,89,63,59,97,77,17,19,17,95,1,1,1,1,57
380,8222,寶一,電機機械,7,7,7,95,87,97,73,77,73,51,33,61,57,61,51,61,57,23,69,41,79,75,49,1,1,1,1,55
381,8374,羅昇,電機機械,99,99,95,13,65,75,97,89,81,49,25,25,69,57,83,39,55,27,65,75,65,71,55,1,1,1,1,60
382,8996,高力,電機機械,65,71,69,25,73,45,39,79,67,45,11,81,41,55,43,45,13,75,99,67,37,37,41,1,1,1,1,52
383,1603,華電,電器電纜,8,8,1,99,85,36,29,29,22,71,99,36,64,99,22,99,85,36,22,36,78,50,22,1,1,1,1,52
384,1604,聲寶,電器電纜,78,78,64,36,36,99,99,15,15,64,92,85,57,92,15,78,78,99,71,29,36,29,15,1,1,1,1,61
385,1605,華新,電器電纜,85,85,92,15,64,1,43,1,29,99,85,1,1,85,99,8,99,43,57,1,1,1,29,1,1,1,1,44
386,1608,華榮,電器電纜,57,57,57,29,50,57,50,57,57,57,78,71,71,78,29,71,71,57,8,50,8,8,36,1,1,1,1,52
387,1609,大亞,電器電纜,92,92,78,22,57,22,8,36,50,50,71,57,8,71,85,43,92,22,50,43,15,15,85,1,1,1,1,49
388,1611,中電,電器電纜,50,50,99,1,29,92,92,99,92,92,64,99,99,64,78,15,8,85,15,99,92,99,78,1,1,1,1,68
389,1612,宏泰,電器電纜,99,99,85,8,8,64,64,43,43,43,57,64,43,57,36,50,64,71,78,8,43,22,50,1,1,1,1,52
390,1614,三洋電,電器電纜,1,1,8,85,15,15,36,50,36,36,50,29,36,50,71,1,57,8,36,92,71,78,92,1,1,1,1,42
391,1615,大山,電器電纜,36,29,22,71,78,50,22,92,99,29,43,50,92,43,64,92,1,1,1,85,85,85,99,1,1,1,1,55
392,1616,億泰,電器電纜,15,15,15,92,43,85,85,85,64,22,36,8,85,36,92,64,50,50,99,78,50,43,43,1,1,1,1,56
393,1617,榮星,電器電纜,64,64,50,50,22,78,78,22,8,15,29,78,50,29,8,57,43,64,29,22,29,71,8,1,1,1,1,44
394,1618,合機,電器電纜,43,36,43,43,92,43,1,71,85,8,22,43,78,22,57,36,36,15,92,71,64,92,71,1,1,1,1,48
395,1626,艾美特-KY,電器電纜,29,43,29,78,71,8,57,8,1,85,15,92,15,15,1,29,29,78,64,15,99,57,1,1,1,1,1,39
396,4930,燦星網,電器電纜,71,71,71,57,99,71,71,64,71,78,8,22,29,8,50,85,22,29,85,57,22,36,57,1,1,1,1,51
397,5283,禾聯碩,電器電纜,22,22,36,64,43,29,15,78,78,1,1,15,22,1,43,22,15,92,43,64,57,64,64,1,1,1,1,39
398,1707,葡萄王,生技醫療業,63,66,75,3,87,36,30,0,24,93,99,15,9,33,33,0,93,0,39,48,0,0,27,1,1,1,1,38
399,1720,生達,生技醫療業,18,21,66,21,84,9,15,15,3,63,54,27,33,15,3,60,39,9,24,9,27,21,0,1,1,1,1,27
400,1731,美吾華,生技醫療業,12,15,15,72,69,51,45,54,15,33,48,63,87,93,15,0,33,6,27,6,18,72,15,1,1,1,1,38
401,1733,五鼎,生技醫療業,0,0,3,81,72,12,18,33,69,51,45,81,15,18,75,96,87,27,90,54,39,36,90,1,1,1,1,46
402,1734,杏輝,生技醫療業,0,0,0,93,75,0,24,18,63,27,72,30,30,21,78,3,30,75,36,36,30,27,87,1,1,1,1,37
403,1752,南光,生技醫療業,0,0,0,99,0,9,6,21,0,24,93,12,27,24,0,57,27,36,84,42,33,33,0,1,1,1,1,28
404,1760,寶齡富錦,生技醫療業,48,48,63,45,96,24,21,63,66,39,24,78,93,87,81,45,24,60,54,87,96,60,84,1,1,1,1,58
405,1762,中化生,生技醫療業,69,69,87,0,15,39,54,42,60,48,21,18,18,84,66,63,21,12,30,0,24,3,66,1,1,1,1,38
406,1783,和康生,生技醫療業,30,33,6,87,78,45,39,81,75,54,18,84,66,63,90,54,18,0,78,81,66,63,60,1,1,1,1,51
