,公司代號,公司名稱,產業類別,員工福利平均數(仟元/人),員工薪資平均數(仟元/人),非擔任主管職務之全時員工薪資平均數(仟元/人),非擔任主管之全時員工薪資中位數(仟元/人),管理職女性主管占比,職業災害人數及比率-人數,職業災害人數及比率-比率,用水量(公噸),用水密集度-密集度(公噸/單位),公司年度召開法說會次數(次),使用率(再生能源/總能源),範疇一-排放量(噸CO2e),範疇二-排放量(噸CO2e),範疇三-排放量(噸CO2e),溫室氣體排放密集度-密集度(噸CO2e/單位),董事席次(含獨立董事)(席),獨立董事席次(席),女性董事席次及比率-比率,董事出席董事會出席率,有害廢棄物量-數據(公噸),非有害廢棄物量-數據(公噸),總重量(有害+非有害)-數據(公噸),廢棄物密集度-密集度(公噸/單位),E,S,G,ESG,ESG_ByPR
407,1786,科妍,生技醫療業,45,45,21,66,33,48,36,45,0,3,33,66,45,81,0,27,36,54,45,72,48,45,9,1,1,1,1,38
408,1789,神隆,生技醫療業,60,51,72,15,54,3,3,9,9,84,96,21,6,27,9,0,15,18,57,0,21,0,3,1,1,1,1,26
409,1795,美時,生技醫療業,75,54,96,12,63,33,27,27,42,96,87,0,21,30,60,36,9,45,0,15,36,30,30,1,1,1,1,40
410,3164,景岳,生技醫療業,3,3,0,69,3,54,48,57,12,57,0,60,57,75,12,33,6,78,0,75,84,39,12,1,1,1,1,41
411,3705,永信,生技醫療業,90,90,60,27,45,42,51,87,57,45,42,39,81,39,72,18,3,63,75,63,57,66,78,1,1,1,1,53
412,4104,佳醫,生技醫療業,72,72,78,9,51,60,42,72,90,42,12,87,96,69,96,21,3,81,69,78,87,75,96,1,1,1,1,62
413,4106,雃博,生技醫療業,42,42,51,39,12,6,0,90,84,75,27,51,75,42,36,24,96,57,0,57,45,42,36,1,1,1,1,44
414,4108,懷特,生技醫療業,81,81,36,51,60,63,60,60,18,0,0,69,60,66,18,0,3,30,93,84,90,87,18,1,1,1,1,49
415,4119,旭富,生技醫療業,21,12,33,36,9,66,63,48,0,0,51,90,63,72,0,69,12,39,63,0,9,0,6,1,1,1,1,33
416,4133,亞諾法,生技醫療業,15,9,9,75,81,99,99,96,51,0,0,42,78,36,39,90,42,15,0,60,60,90,42,1,1,1,1,48
417,4137,麗豐-KY,生技醫療業,39,39,69,24,30,72,69,69,93,90,3,72,69,90,87,72,99,0,99,93,93,57,93,1,1,1,1,62
418,4142,國光生,生技醫療業,33,36,12,63,24,15,9,12,6,87,75,24,12,12,6,9,45,21,33,12,42,18,0,1,1,1,1,29
419,4148,全宇生技-KY,生技醫療業,9,18,24,48,21,21,12,24,48,6,39,96,90,57,69,30,75,66,60,0,12,24,48,1,1,1,1,41
420,4155,訊映,生技醫療業,6,6,39,42,99,75,72,84,87,9,36,93,84,54,93,15,84,3,42,3,15,69,51,1,1,1,1,50
421,4164,承業醫,生技醫療業,87,87,93,0,0,18,0,99,45,66,6,54,99,48,63,75,72,87,51,69,75,93,75,1,1,1,1,61
422,4190,佐登-KY,生技醫療業,84,84,54,33,0,78,75,93,54,12,9,48,72,51,42,93,69,69,72,66,72,84,45,1,1,1,1,59
423,4736,泰博,生技醫療業,27,27,18,78,0,81,78,66,96,18,15,99,54,99,84,78,81,90,9,96,81,96,81,1,1,1,1,65
424,4737,華廣,生技醫療業,0,0,0,96,48,27,33,51,0,15,84,75,42,45,0,81,78,42,96,33,78,81,0,1,1,1,1,46
425,4746,台耀,生技醫療業,66,75,90,0,27,0,0,0,21,69,78,33,0,60,21,51,0,99,21,27,6,6,21,1,1,1,1,36
426,6431,光麗-KY,生技醫療業,96,96,81,18,57,84,81,36,33,21,60,0,36,3,27,12,63,72,81,45,63,54,33,1,1,1,1,51
427,6446,藥華藥,生技醫療業,99,99,99,0,93,87,84,75,78,99,30,36,48,96,24,6,66,24,12,51,69,78,24,1,1,1,1,59
428,6472,保瑞,生技醫療業,78,78,30,90,39,30,87,30,27,72,90,0,24,0,30,84,60,84,18,39,51,48,63,1,1,1,1,52
429,6491,晶碩,生技醫療業,24,24,57,30,36,0,0,0,99,81,81,57,0,6,99,39,57,51,6,18,0,0,99,1,1,1,1,39
430,6541,泰福-KY,生技醫療業,57,63,45,54,6,90,90,3,39,30,63,6,3,0,57,42,54,48,15,21,0,12,72,1,1,1,1,39
431,6550,北極星藥業-KY,生技醫療業,54,60,48,57,66,93,93,0,36,0,66,3,0,0,54,87,51,93,3,24,0,9,69,1,1,1,1,46
432,6598,ABC-KY,生技醫療業,51,57,42,60,42,96,96,6,81,78,69,0,0,0,51,99,48,96,87,30,3,15,57,1,1,1,1,52
433,6666,羅麗芬-KY,生技醫療業,93,93,84,6,90,69,66,78,72,36,0,45,51,78,45,48,90,0,48,90,54,51,39,1,1,1,1,55
434,6796,晉弘,生技醫療業,36,30,27,84,18,57,57,39,30,60,57,9,39,9,48,66,3,33,66,99,99,99,54,1,1,1,1,47
435,1708,東鹼,化學工業,63,67,71,11,95,99,99,11,3,35,75,27,55,3,19,3,47,99,3,99,27,31,11,1,1,1,1,48
436,1709,和益,化學工業,99,99,99,0,39,67,95,39,27,23,7,3,15,75,11,0,95,51,0,79,75,67,51,1,1,1,1,49
437,1710,東聯,化學工業,87,83,83,3,3,31,19,0,87,91,99,15,0,15,91,0,3,59,27,75,43,43,99,1,1,1,1,45
438,1711,永光,化學工業,15,23,35,39,39,23,51,7,7,67,71,35,0,7,15,0,3,63,87,0,0,0,15,1,1,1,1,27
439,1712,興農,化學工業,19,27,23,71,55,27,43,15,11,87,95,55,27,11,27,15,7,27,83,63,19,15,35,1,1,1,1,37
440,1713,國化,化學工業,43,43,39,43,87,71,83,47,0,0,91,63,75,71,0,99,11,0,79,23,7,71,0,1,1,1,1,42
441,1714,和桐,化學工業,23,11,43,75,91,63,79,79,75,0,11,43,71,27,59,19,15,47,75,87,83,79,75,1,1,1,1,52
442,1717,長興,化學工業,79,75,79,19,51,39,55,3,63,83,63,19,7,0,67,11,19,11,11,0,0,0,43,1,1,1,1,36
443,1718,中纖,化學工業,0,0,3,87,79,43,35,0,47,3,67,0,31,0,47,23,23,83,19,71,0,0,47,1,1,1,1,34
444,1721,三晃,化學工業,3,3,11,51,71,3,7,35,35,7,15,39,19,67,35,95,27,15,0,31,15,7,39,1,1,1,1,30
445,1722,台肥,化學工業,91,91,95,0,47,35,0,0,15,11,0,0,3,0,55,27,31,7,7,35,67,55,87,1,1,1,1,34
446,1723,中碳,化學工業,95,95,91,0,15,75,63,31,0,79,19,23,0,79,0,31,35,31,31,19,11,75,0,1,1,1,1,39
447,1725,元禎,化學工業,35,19,31,79,35,83,59,95,79,15,79,95,99,31,87,79,39,23,55,51,71,95,79,1,1,1,1,62
448,1726,永記,化學工業,7,15,27,59,11,0,3,55,31,19,35,7,67,63,83,91,43,19,15,7,47,23,31,1,1,1,1,35
449,1727,中華化,化學工業,0,0,0,95,83,87,67,99,99,71,27,79,39,35,79,7,99,55,99,27,55,39,63,1,1,1,1,55
450,1730,花仙子,化學工業,75,79,59,47,95,91,75,75,39,27,31,59,91,23,71,67,51,0,23,67,87,83,3,1,1,1,1,53
451,1732,毛寶,化學工業,0,0,0,99,99,95,87,71,19,31,3,91,95,95,39,71,55,0,95,91,59,51,19,1,1,1,1,51
452,1735,日勝化,化學工業,11,7,7,91,63,0,91,67,59,59,39,71,63,43,63,39,59,71,51,59,51,47,55,1,1,1,1,53
453,1773,勝一,化學工業,83,87,87,7,23,11,15,27,67,39,43,11,51,91,75,43,63,67,0,95,31,35,71,1,1,1,1,45
454,1776,展宇,化學工業,27,31,0,83,7,19,0,91,51,43,47,83,87,47,23,47,67,39,59,43,63,59,23,1,1,1,1,45
455,4720,德淵,化學工業,39,35,15,67,75,51,31,83,55,63,0,87,79,51,43,63,0,79,63,47,91,87,59,1,1,1,1,56
456,4722,國精化,化學工業,59,59,55,23,31,59,39,43,0,47,51,47,59,99,0,51,71,43,67,39,3,3,0,1,1,1,1,44
457,4739,康普,化學工業,67,63,47,55,59,47,27,63,71,75,55,75,43,55,99,55,75,87,47,11,35,63,7,1,1,1,1,56
458,4755,三福化,化學工業,55,51,75,15,0,55,47,23,91,51,83,51,23,87,95,59,79,91,35,0,79,27,95,1,1,1,1,56
459,4763,材料-KY,化學工業,51,55,63,27,19,0,0,19,83,95,87,31,11,83,7,83,83,95,71,15,39,19,91,1,1,1,1,51
460,4764,雙鍵,化學工業,31,39,19,63,67,79,71,87,43,55,59,99,83,59,51,87,87,3,91,55,99,99,83,1,1,1,1,62
461,4766,南寶,化學工業,47,47,51,35,27,15,23,51,95,99,23,67,47,19,31,75,91,75,39,3,23,11,27,1,1,1,1,44
462,4770,上品,化學工業,71,71,67,31,43,7,11,59,23,0,0,0,35,39,3,35,3,35,43,83,95,91,67,1,1,1,1,37
463,1802,台玻,玻璃陶瓷,39,39,79,19,79,19,19,19,39,59,99,19,19,99,79,19,79,79,59,19,19,19,39,1,1,1,1,49
464,1806,冠軍,玻璃陶瓷,19,19,19,79,19,39,59,59,99,99,79,39,39,79,99,99,59,19,99,99,39,39,99,1,1,1,1,62
465,1809,中釉,玻璃陶瓷,79,79,59,99,39,99,99,79,79,39,59,79,79,59,59,39,39,59,79,79,79,79,79,1,1,1,1,69
466,1810,和成,玻璃陶瓷,59,59,39,59,59,59,39,39,19,19,39,59,59,39,39,79,19,99,19,39,59,59,19,1,1,1,1,49
467,1817,凱撒衛,玻璃陶瓷,99,99,99,39,99,79,79,99,59,79,19,99,99,19,19,59,99,39,39,59,99,99,59,1,1,1,1,67
468,1903,士紙,造紙工業,57,57,15,99,85,99,99,43,43,29,43,71,71,85,43,85,85,29,29,57,71,71,85,1,1,1,1,64
469,1904,正隆,造紙工業,71,71,99,15,29,43,71,99,71,57,99,29,29,15,71,57,71,71,99,99,29,29,15,1,1,1,1,59
470,1905,華紙,造紙工業,29,15,57,71,57,71,57,29,15,99,29,57,43,99,15,43,57,99,85,85,43,43,71,1,1,1,1,57
471,1906,寶隆,造紙工業,85,85,29,29,15,85,85,71,85,15,85,43,57,71,85,99,15,57,15,43,57,57,57,1,1,1,1,59
472,1907,永豐餘,造紙工業,99,99,71,43,71,15,29,15,57,85,15,15,15,57,57,29,99,43,43,15,15,15,99,1,1,1,1,47
473,1909,榮成,造紙工業,15,29,43,85,43,57,43,57,99,43,57,85,99,43,99,15,43,85,57,29,85,85,43,1,1,1,1,58
474,6790,永豐實,造紙工業,43,43,85,57,99,29,15,85,29,71,71,99,85,29,29,71,29,15,71,71,99,99,29,1,1,1,1,55
475,2002,中鋼,鋼鐵工業,99,99,99,9,21,42,72,9,30,99,99,9,9,9,9,12,96,63,75,60,9,9,18,1,1,1,1,47
476,2006,東和鋼鐵,鋼鐵工業,81,81,84,24,45,18,42,12,51,84,96,15,12,12,36,15,51,99,84,9,15,15,51,1,1,1,1,46
477,2007,燁興,鋼鐵工業,36,27,33,66,33,45,48,39,15,33,12,30,33,24,69,66,15,96,27,39,33,33,15,1,1,1,1,39
478,2008,高興昌,鋼鐵工業,12,15,9,99,60,57,45,81,54,24,93,93,78,93,48,33,18,48,48,93,75,84,84,1,1,1,1,58
479,2009,第一銅,鋼鐵工業,30,33,45,51,30,39,21,36,45,18,90,54,42,39,12,69,21,33,18,33,78,66,57,1,1,1,1,42
480,2010,春源,鋼鐵工業,39,36,57,60,48,12,18,54,90,12,15,69,60,63,96,18,24,69,30,87,27,27,78,1,1,1,1,48
481,2012,春雨,鋼鐵工業,51,57,30,81,69,30,39,96,18,69,42,39,45,69,93,60,27,42,54,21,48,30,21,1,1,1,1,48
482,2013,中鋼構,鋼鐵工業,93,93,93,18,18,84,78,75,75,72,45,90,75,90,87,21,30,66,60,81,60,69,90,1,1,1,1,65
483,2014,中鴻,鋼鐵工業,90,90,90,12,27,72,69,18,78,96,84,18,21,18,75,78,33,36,72,15,18,18,69,1,1,1,1,51
484,2015,豐興,鋼鐵工業,84,84,81,27,81,9,15,15,48,93,81,12,15,15,27,9,36,81,39,12,12,12,39,1,1,1,1,42
485,2017,官田鋼,鋼鐵工業,9,12,24,96,75,21,9,42,36,78,18,72,51,36,60,24,12,60,15,75,39,39,72,1,1,1,1,42
486,2020,美亞,鋼鐵工業,66,54,63,39,84,33,27,87,42,81,48,84,93,84,51,36,39,57,42,48,90,78,54,1,1,1,1,59
487,2022,聚亨,鋼鐵工業,24,30,15,90,57,54,33,78,72,15,51,81,54,87,57,99,42,27,24,72,45,45,93,1,1,1,1,56
488,2023,燁輝,鋼鐵工業,72,66,60,42,24,75,75,27,87,90,78,24,27,51,72,84,45,75,57,57,42,42,96,1,1,1,1,59
489,2024,志聯,鋼鐵工業,27,24,27,78,90,78,81,30,39,21,27,60,81,48,18,87,48,12,96,30,81,63,63,1,1,1,1,51
490,2025,千興,鋼鐵工業,21,9,18,75,81,99,99,66,93,9,54,45,72,96,99,96,9,15,99,51,69,75,99,1,1,1,1,62
491,2027,大成鋼,鋼鐵工業,96,96,96,15,78,69,66,51,99,27,24,75,48,54,45,27,93,24,21,78,51,48,75,1,1,1,1,57
492,2028,威致,鋼鐵工業,69,63,72,33,93,27,24,21,84,30,75,21,18,45,81,93,57,18,12,18,21,21,30,1,1,1,1,45
493,2029,盛餘,鋼鐵工業,87,87,87,21,42,87,87,24,81,87,72,33,30,42,90,30,60,78,66,63,54,54,24,1,1,1,1,62
494,2030,彰源,鋼鐵工業,48,48,54,84,15,90,90,48,9,36,21,36,36,72,39,75,63,84,78,36,36,72,9,1,1,1,1,51
495,2031,新光鋼,鋼鐵工業,78,78,78,36,63,63,51,84,33,39,60,66,87,81,42,57,66,87,69,84,96,96,36,1,1,1,1,66
496,2032,新鋼,鋼鐵工業,18,21,21,87,54,36,12,69,63,42,87,57,63,33,84,48,69,45,33,42,57,51,81,1,1,1,1,53
497,2033,佳大,鋼鐵工業,15,18,12,93,87,93,93,33,69,45,33,48,57,30,21,81,72,21,9,27,84,60,66,1,1,1,1,51
498,2034,允強,鋼鐵工業,63,72,66,48,72,24,36,45,66,48,9,63,39,21,78,54,99,54,87,54,63,57,87,1,1,1,1,57
499,2038,海光,鋼鐵工業,33,42,36,72,36,96,96,57,12,51,30,27,24,27,30,42,75,90,51,24,24,24,12,1,1,1,1,48
500,2069,運錩,鋼鐵工業,60,69,69,45,96,48,63,93,60,54,63,87,90,75,63,63,78,39,63,90,99,99,48,1,1,1,1,69
501,2211,長榮鋼,鋼鐵工業,75,75,75,30,66,51,57,63,27,57,66,51,66,60,15,72,81,9,90,96,30,36,27,1,1,1,1,54
502,3004,豐達科,鋼鐵工業,57,60,42,69,69,66,60,60,21,60,36,96,96,57,24,51,84,93,93,45,66,90,33,1,1,1,1,63
503,5007,三星,鋼鐵工業,42,39,51,54,51,15,30,99,96,63,69,42,69,78,66,45,87,51,36,66,72,81,60,1,1,1,1,60
504,5538,東明-KY,鋼鐵工業,54,51,48,57,99,81,84,72,24,66,57,99,99,99,33,90,90,30,45,69,87,87,42,1,1,1,1,68
505,9958,世紀鋼,鋼鐵工業,45,45,39,63,39,60,54,90,57,75,39,78,84,66,54,39,54,72,81,99,93,93,45,1,1,1,1,61
506,2062,橋椿,居家生活,27,27,18,81,90,27,27,27,90,45,99,18,27,99,9,72,90,18,45,9,18,18,90,1,1,1,1,47
507,3557,嘉威,居家生活,99,99,72,36,63,99,99,9,81,36,90,81,9,90,90,90,9,36,54,18,27,27,81,1,1,1,1,61
508,6671,三能-KY,居家生活,81,81,90,27,99,45,45,18,18,81,81,90,18,81,27,45,81,54,27,45,54,54,72,1,1,1,1,57
509,6754,匯僑設計,居家生活,45,45,63,45,72,81,54,90,72,27,72,72,90,72,81,63,72,9,99,72,81,81,63,1,1,1,1,63
510,6807,峰源-KY,居家生活,72,72,81,18,54,9,9,54,63,9,63,63,81,63,72,36,99,99,90,36,45,45,54,1,1,1,1,57
511,8464,億豐,居家生活,90,90,99,9,27,72,36,81,54,99,54,54,72,54,63,27,63,90,81,63,72,72,45,1,1,1,1,64
512,8482,商億-KY,居家生活,63,63,54,54,9,18,18,45,45,90,45,27,63,45,54,99,54,45,63,27,36,36,36,1,1,1,1,46
513,9911,櫻花,居家生活,36,36,45,63,36,54,72,99,36,72,36,99,99,36,45,18,45,81,36,54,63,63,27,1,1,1,1,54
514,9924,福興,居家生活,18,18,27,99,45,36,81,36,9,63,27,45,36,27,18,9,36,63,9,81,90,90,9,1,1,1,1,41
515,9934,成霖,居家生活,54,54,36,72,81,90,90,72,27,54,18,36,54,18,36,81,27,27,18,99,99,99,18,1,1,1,1,55
516,9935,慶豐富,居家生活,9,9,9,90,18,63,63,63,99,18,9,9,45,9,99,54,18,72,72,90,9,9,99,1,1,1,1,48
517,2101,南港,橡膠工業,63,63,54,54,27,9,9,72,90,72,81,45,45,99,27,63,90,9,18,99,90,27,36,1,1,1,1,53
518,2102,泰豐,橡膠工業,45,9,18,90,54,45,18,81,27,63,72,72,72,90,18,54,81,54,36,90,54,81,18,1,1,1,1,56
519,2103,台橡,橡膠工業,72,72,81,18,81,36,54,9,36,99,99,18,9,81,45,90,72,45,99,9,18,9,9,1,1,1,1,51
520,2104,國際中橡,橡膠工業,81,81,72,72,99,54,36,18,9,90,9,9,81,72,9,81,63,99,27,81,36,63,90,1,1,1,1,60
521,2105,正新,橡膠工業,54,54,63,36,18,18,63,27,63,81,63,27,18,63,54,27,54,18,90,36,9,18,81,1,1,1,1,45
522,2106,建大,橡膠工業,18,27,45,45,63,27,45,45,72,54,54,36,36,54,36,18,45,63,54,45,72,36,63,1,1,1,1,46
523,2107,厚生,橡膠工業,27,36,36,63,45,99,99,90,18,45,45,81,90,45,72,45,36,90,81,72,99,99,54,1,1,1,1,64
524,2108,南帝,橡膠工業,99,99,99,9,36,90,90,36,81,36,90,99,27,36,81,9,99,27,45,18,27,45,72,1,1,1,1,56
525,2109,華豐,橡膠工業,9,18,27,99,9,81,81,63,45,9,36,54,63,27,99,99,9,81,9,63,81,54,45,1,1,1,1,54
526,2114,鑫永銓,橡膠工業,36,45,9,81,90,63,27,99,54,27,27,90,99,18,63,36,27,72,72,54,63,90,27,1,1,1,1,54
527,6582,申豐,橡膠工業,90,90,90,27,72,72,72,54,99,18,18,63,54,9,90,72,18,36,63,27,45,72,99,1,1,1,1,56
528,2208,台船,航運業,47,47,51,47,23,31,55,15,7,31,11,47,27,19,27,7,87,71,15,7,7,11,7,1,1,1,1,33
529,2603,長榮,航運業,99,99,99,7,47,51,63,39,15,47,19,7,15,7,99,51,83,47,87,23,15,71,15,1,1,1,1,46
530,2605,新興,航運業,71,75,75,23,15,91,99,23,19,43,35,43,99,83,87,75,23,35,11,27,19,95,19,1,1,1,1,53
531,2606,裕民,航運業,79,71,79,27,71,67,71,99,51,79,39,27,67,99,39,19,27,87,71,31,31,99,39,1,1,1,1,59
532,2607,榮運,航運業,35,31,35,55,67,39,31,19,39,11,71,67,23,31,31,59,31,51,95,11,51,15,59,1,1,1,1,42
533,2608,嘉里大榮,航運業,23,23,23,79,39,11,15,31,47,71,43,55,19,87,35,47,35,7,67,63,63,31,47,1,1,1,1,43
534,2609,陽明,航運業,95,95,95,11,75,35,47,55,27,99,7,23,47,71,19,23,39,75,35,51,43,67,27,1,1,1,1,52
535,2610,華航,航運業,67,63,83,31,79,15,27,43,79,63,23,11,31,11,75,15,43,27,19,55,11,35,51,1,1,1,1,40
536,2611,志信,航運業,19,11,11,95,31,99,83,83,83,15,47,63,63,35,91,79,47,79,59,59,95,63,87,1,1,1,1,62
537,2612,中航,航運業,63,67,71,35,19,59,43,79,91,87,51,35,87,39,7,83,11,83,39,71,71,83,63,1,1,1,1,60
538,2613,中櫃,航運業,11,19,7,87,11,43,23,63,71,55,31,87,51,43,47,55,15,55,55,75,75,55,75,1,1,1,1,49
539,2614,東森,航運業,59,59,59,43,91,71,59,75,59,19,63,99,43,63,59,91,51,99,83,99,91,39,71,1,1,1,1,69
540,2615,萬海,航運業,87,87,91,15,51,55,19,59,35,91,15,15,35,27,11,87,55,11,23,47,39,47,35,1,1,1,1,46
541,2617,台航,航運業,51,55,67,39,63,75,51,91,87,23,87,71,55,67,67,71,59,39,79,15,47,79,95,1,1,1,1,62
542,2618,長榮航,航運業,55,51,63,71,87,27,67,35,95,39,91,19,39,95,71,67,63,43,99,43,35,75,91,1,1,1,1,61
543,2630,亞航,航運業,15,15,19,83,27,47,39,51,55,27,27,91,95,51,83,27,91,67,31,83,83,87,67,1,1,1,1,55
544,2633,台灣高鐵,航運業,31,35,43,63,43,63,75,11,11,83,67,95,11,55,23,11,95,31,47,39,27,7,11,1,1,1,1,41
545,2634,漢翔,航運業,43,43,39,67,59,23,35,7,31,59,75,83,7,75,51,35,67,63,27,19,59,23,55,1,1,1,1,48
546,2636,台驊控股,航運業,83,83,27,99,35,95,87,27,23,75,79,51,91,79,15,43,71,91,75,35,23,19,23,1,1,1,1,58
547,2637,慧洋-KY,航運業,39,39,47,59,95,79,91,95,99,95,95,59,75,23,95,63,99,15,91,87,87,43,99,1,1,1,1,68
548,2642,宅配通,航運業,7,7,15,91,55,19,7,47,63,51,59,75,59,59,55,39,75,19,51,91,99,51,79,1,1,1,1,48
549,5607,遠雄港,航運業,91,91,55,51,99,83,95,87,67,35,99,39,79,15,79,99,7,95,7,95,55,27,43,1,1,1,1,67
550,5608,四維航,航運業,75,79,87,19,71,87,79,71,43,67,83,31,83,91,63,95,79,23,63,79,79,59,31,1,1,1,1,65
551,8367,建新國際,航運業,27,27,31,75,83,27,11,67,75,7,55,79,71,47,43,31,19,59,43,67,67,91,83,1,1,1,1,49
552,2301,光寶科,電腦及週邊設備業,75,73,85,0,45,0,31,0,15,73,0,0,0,0,11,5,99,99,33,0,3,0,21,1,1,1,1,33
553,2305,全友,電腦及週邊設備業,0,0,1,81,51,47,55,71,93,1,67,99,83,51,71,9,35,33,1,77,85,85,55,1,1,1,1,51
554,2324,仁寶,電腦及週邊設備業,55,53,77,5,27,0,0,0,75,93,0,0,0,11,63,0,31,55,13,0,0,0,77,1,1,1,1,31
555,2331,精英,電腦及週邊設備業,23,29,37,51,75,1,0,17,13,19,97,59,15,0,97,29,0,65,11,81,43,49,19,1,1,1,1,37
556,2352,佳世達,電腦及週邊設備業,83,83,91,0,9,49,49,7,0,69,93,15,3,41,0,35,29,47,71,3,7,5,13,1,1,1,1,35
557,2353,宏碁,電腦及週邊設備業,89,89,97,0,73,5,47,27,85,91,0,5,31,0,73,47,79,9,5,55,69,19,81,1,1,1,1,44
558,2356,英業達,電腦及週邊設備業,35,35,45,45,5,0,17,0,0,97,1,0,5,1,0,15,27,63,37,0,0,0,0,1,1,1,1,20
559,2357,華碩,電腦及週邊設備業,85,85,95,0,47,15,35,31,7,67,91,69,23,0,25,0,25,59,67,27,23,35,0,1,1,1,1,40
560,2362,藍天,電腦及週邊設備業,69,69,73,3,59,35,11,47,27,65,59,1,0,99,0,37,23,23,49,99,33,41,67,1,1,1,1,41
561,2364,倫飛,電腦及週邊設備業,3,5,0,85,67,55,45,77,63,17,27,29,67,55,31,1,21,57,0,91,59,69,51,1,1,1,1,45
562,2365,昆盈,電腦及週邊設備業,29,17,11,69,85,51,43,49,39,15,87,53,59,0,83,33,19,49,0,65,99,97,45,1,1,1,1,49
563,2376,技嘉,電腦及週邊設備業,99,99,87,11,65,19,37,21,77,45,25,23,17,0,53,9,17,53,53,11,9,9,47,1,1,1,1,38
564,2377,微星,電腦及週邊設備業,87,87,93,0,53,13,21,35,87,13,81,39,35,43,77,0,15,45,97,53,71,29,87,1,1,1,1,47
565,2380,虹光,電腦及週邊設備業,11,3,21,59,0,33,5,67,89,11,85,63,79,61,79,41,95,51,15,23,45,51,89,1,1,1,1,46
566,2382,廣達,電腦及週邊設備業,77,77,83,0,1,0,0,0,17,95,0,0,0,13,19,91,33,61,43,0,0,0,49,1,1,1,1,33
567,2387,精元,電腦及週邊設備業,13,11,7,77,0,53,51,53,37,9,45,31,63,5,85,43,1,0,45,45,57,65,57,1,1,1,1,38
568,2395,研華,電腦及週邊設備業,65,65,67,15,55,0,53,15,45,99,41,9,19,23,37,45,11,27,0,29,17,17,0,1,1,1,1,31
569,2397,友通,電腦及週邊設備業,5,7,17,75,89,57,57,45,65,7,65,35,51,67,43,49,9,73,83,39,53,61,71,1,1,1,1,48
570,2399,映泰,電腦及週邊設備業,59,63,53,39,83,59,59,99,67,5,23,87,71,85,65,51,7,17,85,51,75,75,69,1,1,1,1,58
571,2405,輔信,電腦及週邊設備業,43,41,49,29,23,21,0,81,53,21,21,49,87,93,27,53,5,0,63,73,93,93,15,1,1,1,1,41
572,2417,圓剛,電腦及週邊設備業,21,21,47,23,63,63,63,75,97,47,19,95,85,65,67,39,3,77,57,67,67,73,85,1,1,1,1,56
573,2425,承啟,電腦及週邊設備業,39,27,0,73,93,83,83,25,35,23,43,37,27,7,87,95,0,69,0,69,65,77,25,1,1,1,1,50
574,2465,麗臺,電腦及週邊設備業,1,1,15,71,79,23,0,91,55,1,15,81,73,91,59,73,3,79,87,63,97,95,23,1,1,1,1,54
575,2495,普安,電腦及週邊設備業,7,9,25,57,17,97,97,59,61,1,3,33,53,89,33,85,89,81,89,43,61,67,53,1,1,1,1,52
576,3002,歐格,電腦及週邊設備業,17,23,29,35,95,95,95,93,49,1,5,85,99,87,61,0,91,7,41,47,41,89,65,1,1,1,1,53
577,3005,神基,電腦及週邊設備業,73,75,89,0,37,0,23,1,0,79,39,0,0,9,0,93,3,83,3,0,1,1,0,1,1,1,1,28
578,3013,晟銘電,電腦及週邊設備業,27,19,23,43,87,0,3,3,0,1,31,17,13,33,0,83,3,0,0,15,0,3,37,1,1,1,1,21
579,3017,奇鋐,電腦及週邊設備業,47,43,39,37,33,0,27,0,0,55,95,7,1,3,7,0,93,85,91,5,19,13,1,1,1,1,1,34
580,3022,威強電,電腦及週邊設備業,37,39,13,49,57,93,93,19,11,1,53,11,25,0,21,81,3,11,93,7,5,7,3,1,1,1,1,30
581,3046,建碁,電腦及週邊設備業,41,45,59,1,31,99,99,97,91,25,0,97,97,83,75,57,37,13,29,49,39,87,99,1,1,1,1,56
582,3057,喬鼎,電腦及週邊設備業,53,51,71,9,29,89,89,79,43,1,11,83,75,79,13,89,87,87,27,75,89,27,7,1,1,1,1,57
583,3060,銘異,電腦及週邊設備業,0,0,0,91,39,87,87,37,21,1,0,71,37,19,15,75,51,25,0,97,0,0,0,1,1,1,1,35
584,3231,緯創,電腦及週邊設備業,71,71,79,0,35,0,25,0,51,87,0,0,0,0,45,25,97,31,75,0,0,0,35,1,1,1,1,30
585,3416,融程電,電腦及週邊設備業,0,0,5,83,49,27,0,95,69,81,17,79,81,77,49,59,0,89,81,41,31,37,73,1,1,1,1,49
586,3494,誠研,電腦及週邊設備業,0,0,0,99,41,85,85,61,83,1,57,61,57,75,93,99,73,5,0,59,79,59,61,1,1,1,1,51
587,3515,華擎,電腦及週邊設備業,95,93,99,0,91,81,81,83,19,75,99,89,77,73,69,71,71,91,0,71,91,81,79,1,1,1,1,69
588,3652,精聯,電腦及週邊設備業,15,15,9,63,55,25,0,87,71,0,13,51,89,71,55,27,69,37,21,89,83,83,17,1,1,1,1,44
589,3701,大眾控,電腦及週邊設備業,97,95,31,61,13,65,65,11,41,63,89,25,21,27,35,69,65,93,95,13,13,25,39,1,1,1,1,52
590,3706,神達,電腦及週邊設備業,91,91,65,13,69,45,39,9,31,41,61,21,11,25,23,3,63,95,59,19,15,11,33,1,1,1,1,43
